tab 	sites
age	age_high	age_low	age_unit	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1779	1782	1776	Ma	This study	20.5	hc	273.3	49.4	21	4	4	4	0	t	3.857	0	Intrusive	Diabase	0	45.53497	Diabase	ECMB	265.76113	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	NED13-1:NED13-3:NED13-4:NED13-5	NED13	pmagpy-4.2.25: demag_gui.v.3.0	NED13-1b:NED13-3b:NED13-4b:NED13-5b	27.2	18.1	23.2	196.0
1779	1782	1776	Ma	This study	4.3	mc	169.1	73.9	199	7	7	7	0	t	6.9698	0	Intrusive	Diabase	0	45.53497	Diabase	ECMB	265.76113	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED13-1:NED13-3:NED13-4:NED13-5:NED13-6:NED13-7:NED13-8	NED13	pmagpy-4.2.25: demag_gui.v.3.0	NED13-1b:NED13-3b:NED13-4b:NED13-5b:NED13-6b:NED13-7b:NED13-8b	7.8	7	15.9	271.4
1779	1782	1776	Ma	This study	10.2	hc	260.0	37.5	147	3	3	3	0	t	2.9864	0	Intrusive	Diabase	0	45.53492	Diabase	ECMB	265.76119	LP-DIR-AF:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	i	NED14-3:NED14-4:NED14-5	NED14	pmagpy-4.2.25: demag_gui.v.3.0	NED14-3b:NED14-4b:NED14-5b	12	7.1	8.2	197.5
1779	1782	1776	Ma	This study	4.6	mc	193.0	70	217	6	6	6	0	t	5.9769	0	Intrusive	Diabase	0	45.53492	Diabase	ECMB	265.76119	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED14-3:NED14-4:NED14-5:NED14-7:NED14-8:NED14-9	NED14	pmagpy-4.2.25: demag_gui.v.3.0	NED14-3b:NED14-4b:NED14-5b:NED14-7b:NED14-8b:NED14-9b	7.9	6.8	10.1	258.0
1779	1782	1776	Ma	This study	7.2	lc	236.0	45.5	60	8	8	8	0	t	7.8824	0	Intrusive	Diabase	0	45.53688	Diabase	ECMB	265.76758	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED15-1:NED15-2:NED15-3:NED15-4:NED15-5:NED15-7:NED15-8:NED15-9	NED15	pmagpy-4.2.25: demag_gui.v.3.0	NED15-1b:NED15-2b:NED15-3b:NED15-4b:NED15-5b:NED15-7b:NED15-8b:NED15-9b	9.2	5.8	-1.5	218.1
1779	1782	1776	Ma	This study	2.3	mc	175.8	77.7	604	8	8	8	0	t	7.9884	0	Intrusive	Diabase	0	45.53688	Diabase	ECMB	265.76758	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED15-1:NED15-2:NED15-3:NED15-4:NED15-5:NED15-7:NED15-8:NED15-9	NED15	pmagpy-4.2.25: demag_gui.v.3.0	NED15-1b:NED15-2b:NED15-3b:NED15-4b:NED15-5b:NED15-7b:NED15-8b:NED15-9b	4.3	4	22	267.6
1779	1782	1776	Ma	This study	5.2	lc	331.4	27.5	113	8	8	8	0	n	7.9382	0	Intrusive	Diabase	0	45.53728	Diabase	ECMB	265.76822	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED16-1:NED16-2:NED16-3:NED16-4:NED16-5:NED16-6:NED16-7:NED16-8	NED16	pmagpy-4.2.25: demag_gui.v.3.0	NED16-1b:NED16-2b:NED16-3b:NED16-4b:NED16-5b:NED16-6b:NED16-7b:NED16-8b	5.7	3.1	50.8	132.9
1779	1782	1776	Ma	This study	3.6	mc	185.1	78.6	449	5	5	5	0	t	4.9911	0	Intrusive	Diabase	0	45.53728	Diabase	ECMB	265.76822	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED16-2:NED16-3:NED16-4:NED16-5:NED16-8	NED16	pmagpy-4.2.25: demag_gui.v.3.0	NED16-2b:NED16-3b:NED16-4b:NED16-5b:NED16-8b	6.8	6.4	23.6	263.7
1779	1782	1776	Ma	This study	9.5	mt	12.2	79.9	24	11	11	11	0	n	10.5829	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-10:NED17-11:NED17-1:NED17-2:NED17-3:NED17-4:NED17-5:NED17-6:NED17-7:NED17-8:NED17-9	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-10a:NED17-11a:NED17-1a:NED17-2a:NED17-3a:NED17-4a:NED17-5a:NED17-6a:NED17-7a:NED17-8a:NED17-9a	18.2	17.4	64.4	275.2
1779	1782	1776	Ma	This study	18.2	mc	310.7	76.7	7	11	11	11	0	n	9.6164	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-10:NED17-11:NED17-1:NED17-2:NED17-3:NED17-4:NED17-5:NED17-6:NED17-7:NED17-8:NED17-9	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-10b:NED17-11b:NED17-1b:NED17-2b:NED17-3b:NED17-4b:NED17-5b:NED17-6b:NED17-7b:NED17-8b:NED17-9b	33.8	31.4	57.2	229.0
1779	1782	1776	Ma	This study	6	lt	276.0	45.2	75	9	9	9	0	t	8.8933	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-10:NED17-2:NED17-3:NED17-4:NED17-5:NED17-6:NED17-7:NED17-8:NED17-9	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-10a:NED17-2a:NED17-3a:NED17-4a:NED17-5a:NED17-6a:NED17-7a:NED17-8a:NED17-9a	7.6	4.8	22.7	191.4
1779	1782	1776	Ma	This study	23.4	lc	292.6	70.1	9	6	6	6	0	n	5.4522	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-1:NED17-2:NED17-3:NED17-7:NED17-8:NED17-9	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-1b:NED17-2b:NED17-3b:NED17-7b:NED17-8b:NED17-9b	40.3	34.7	47.4	212.7
1779	1782	1776	Ma	This study	23.1	hc	311.2	37.2	17	4	4	4	0	n	3.822	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-4:NED17-6:NED17-7:NED17-8	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-4b:NED17-6b:NED17-7b:NED17-8b	27.1	15.9	43.2	160.6
1779	1782	1776	Ma	This study	8	llc	357.3	83.4	42	9	9	9	0	n	8.8101	0	Intrusive	Diabase	0	45.5344	Diabase	ECMB	265.76855	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED17-10:NED17-11:NED17-2:NED17-3:NED17-4:NED17-5:NED17-6:NED17-7:NED17-8	NED17	pmagpy-4.2.25: demag_gui.v.3.0	NED17-10b:NED17-11b:NED17-2b:NED17-3b:NED17-4b:NED17-5b:NED17-6b:NED17-7b:NED17-8b	15.7	15.4	58.5	264.6
1779	1782	1776	Ma	This study	23.8	lc	244.6	66.2	6	8	8	8	0	t	6.9004	0	Intrusive	Diabase	0	45.53124	Diabase	ECMB	265.76945	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED18-1:NED18-2:NED18-3:NED18-4:NED18-5:NED18-6:NED18-7:NED18-8	NED18	pmagpy-4.2.25: demag_gui.v.3.0	NED18-1b:NED18-2b:NED18-3b:NED18-4b:NED18-5b:NED18-6b:NED18-7b:NED18-8b	39	32	19.7	226.4
1779	1782	1776	Ma	This study	5.3	mc	134.7	81.7	159	6	6	6	0	t	5.9686	0	Intrusive	Diabase	0	45.53124	Diabase	ECMB	265.76945	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED18-1:NED18-2:NED18-3:NED18-4:NED18-5:NED18-6	NED18	pmagpy-4.2.25: demag_gui.v.3.0	NED18-1b:NED18-2b:NED18-3b:NED18-4b:NED18-5b:NED18-6b	10.3	10	33.2	279.5
1779	1782	1776	Ma	This study	9.6	mc	159.1	72.8	672	2	2	2	0	t	1.9985	0	Intrusive	Diabase	0	45.53019	Diabase	ECMB	265.76583	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	NED19-7:NED19-8	NED19	pmagpy-4.2.25: demag_gui.v.3.0	NED19-7b:NED19-8b	17.1	15.2	15.2	277.0
1779	1782	1776	Ma	This study	11.5	hc	259.7	35.9	29	7	7	7	0	t	6.7905	0	Intrusive	Diabase	0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-6b:NED2-7b:NED2-8b	13.3	7.7	7.2	196.9
1779	1782	1776	Ma	This study	8	lc	36.7	71.7	70	6	6	6	0	n	5.9289	0	Intrusive	Diabase	0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1b:NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-8b	14.1	12.3	64.8	316.6
1779	1782	1776	Ma	This study	7.5	lt	269.4	38.4	56	8	8	8	0	t	7.8743	0	Intrusive	Diabase	0	45.53421	Diabase	ECMB	265.75816	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1a:NED2-2a:NED2-3a:NED2-4a:NED2-5a:NED2-6a:NED2-7a:NED2-8a	8.9	5.3	14.8	191.7
1779	1782	1776	Ma	This study	2.7	mc	172.3	74.9	420	8	8	8	0	t	7.9833	0	Intrusive	Diabase	0	45.53421	Diabase	ECMB	265.75816	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-7:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1b:NED2-2b:NED2-3b:NED2-4b:NED2-5b:NED2-6b:NED2-7b:NED2-8b	4.9	4.5	17.4	269.6
1779	1782	1776	Ma	This study	2.4	mt	156.5	72.6	618	7	7	7	0	t	6.9903	0	Intrusive	Diabase	0	45.53421	Diabase	ECMB	265.75816	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED2-1:NED2-2:NED2-3:NED2-4:NED2-5:NED2-6:NED2-8	NED2	pmagpy-4.2.25: demag_gui.v.3.0	NED2-1a:NED2-2a:NED2-3a:NED2-4a:NED2-5a:NED2-6a:NED2-8a	4.3	3.8	15.3	278.4
1779	1782	1776	Ma	This study	33	hc	255.6	21.4	59	2	2	2	0	t	1.9831	0	Intrusive	Diabase	0	45.51387	Diabase	ECMB	265.76946	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	i	NED20-3:NED20-6	NED20	pmagpy-4.2.25: demag_gui.v.3.0	NED20-3a:NED20-6a	34.8	18.3	-1.9	193.8
1779	1782	1776	Ma	This study	49	lc	358.4	29.8	7	3	3	3	0	n	2.73	0	Intrusive	Diabase	0	45.51387	Diabase	ECMB	265.76946	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED20-3:NED20-6:NED20-7	NED20	pmagpy-4.2.25: demag_gui.v.3.0	NED20-3a:NED20-6a:NED20-7a	54.3	30.1	60.4	88.9
1779	1782	1776	Ma	This study	7.2	hc	250.2	16.9	166	4	4	4	0	t	3.9819	0	Intrusive	Diabase	0	45.51418	Diabase	ECMB	265.76964	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED21-1:NED21-4:NED21-6:NED21-8	NED21	pmagpy-4.2.25: demag_gui.v.3.0	NED21-1a:NED21-4a:NED21-6a:NED21-8a	7.4	3.8	-7.3	196.1
1779	1782	1776	Ma	This study	27.5	lc	91.7	-29.8	9	5	5	5	0	t	4.5397	0	Intrusive	Diabase	0	45.51418	Diabase	ECMB	265.76964	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED21-2:NED21-3:NED21-4:NED21-6:NED21-8	NED21	pmagpy-4.2.25: demag_gui.v.3.0	NED21-2a:NED21-3a:NED21-4a:NED21-6a:NED21-8a	30.5	16.9	-12.5	5.9
1779	1782	1776	Ma	This study	8.3	mc	156.8	74.5	125	4	4	4	0	t	3.976	0	Intrusive	Diabase	0	45.51418	Diabase	ECMB	265.76964	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED21-1:NED21-4:NED21-6:NED21-8	NED21	pmagpy-4.2.25: demag_gui.v.3.0	NED21-1a:NED21-4a:NED21-6a:NED21-8a	15.1	13.7	18.1	277.4
1779	1782	1776	Ma	This study													Intrusive	Diabase		45.53388	Diabase	ECMB	265.74254	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	b	i		NED22	pmagpy-4.2.25: demag_gui.v.3.0					
1779	1782	1776	Ma	This study	4.8	lc	359.6	77.9	194	6	6	6	0	n	5.9742	0	Intrusive	Diabase	0	45.53398	Diabase	ECMB	265.742	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED23-1:NED23-2:NED23-4:NED23-5:NED23-6:NED23-8	NED23	pmagpy-4.2.25: demag_gui.v.3.0	NED23-1a:NED23-2a:NED23-4a:NED23-5a:NED23-6a:NED23-8a	9	8.5	68.7	265.3
1779	1782	1776	Ma	This study	3	mc	193.0	76.4	411	7	7	7	0	t	6.9854	0	Intrusive	Diabase	0	45.53398	Diabase	ECMB	265.742	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED23-1:NED23-2:NED23-3:NED23-4:NED23-5:NED23-6:NED23-8	NED23	pmagpy-4.2.25: demag_gui.v.3.0	NED23-1a:NED23-2a:NED23-3a:NED23-4a:NED23-5a:NED23-6a:NED23-8a	5.6	5.1	20.2	259.7
1779	1782	1776	Ma	This study	4.8	hc	271.5	42.3	159	7	7	7	0	t	6.9623	0	Intrusive	Diabase	0	45.53398	Diabase	ECMB	265.742	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED23-1:NED23-2:NED23-3:NED23-4:NED23-5:NED23-6:NED23-8	NED23	pmagpy-4.2.25: demag_gui.v.3.0	NED23-1a:NED23-2a:NED23-3a:NED23-4a:NED23-5a:NED23-6a:NED23-8a	5.9	3.6	18.2	192.4
1779	1782	1776	Ma	This study													Intrusive	Diabase		45.53425	Diabase	ECMB	265.74179	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	b	i		NED24	pmagpy-4.2.25: demag_gui.v.3.0					
1779	1782	1776	Ma	This study	19.7	lc	272.8	67.1	10	7	7	7	0	t	6.4192	0	Intrusive	Diabase	0	45.53396	Diabase	ECMB	265.74119	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED25-1:NED25-2:NED25-3:NED25-5:NED25-6:NED25-7:NED25-8	NED25	pmagpy-4.2.25: demag_gui.v.3.0	NED25-1a:NED25-2a:NED25-3a:NED25-5a:NED25-6a:NED25-7a:NED25-8a	32.7	27.1	34.6	214.2
1779	1782	1776	Ma	This study	5	mc	135.4	80.7	334	4	4	4	0	t	3.991	0	Intrusive	Diabase	0	45.53396	Diabase	ECMB	265.74119	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED25-1:NED25-2:NED25-6:NED25-8	NED25	pmagpy-4.2.25: demag_gui.v.3.0	NED25-1a:NED25-2a:NED25-6a:NED25-8a	9.6	9.3	31.5	280.6
1779	1782	1776	Ma	This study	3.2	mc	151.1	73.4	572	5	5	5	0	t	4.993	0	Intrusive	Diabase	0	45.53445	Diabase	ECMB	265.74129	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED26-4:NED26-5:NED26-6:NED26-7:NED26-8	NED26	pmagpy-4.2.25: demag_gui.v.3.0	NED26-4a:NED26-5a:NED26-6a:NED26-7a:NED26-8a	5.7	5.1	17.4	280.8
1779	1782	1776	Ma	This study	7.6	hc	283.7	46	79	6	6	6	0	t	5.9367	0	Intrusive	Diabase	0	45.53445	Diabase	ECMB	265.74129	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED26-3:NED26-4:NED26-5:NED26-6:NED26-7:NED26-8	NED26	pmagpy-4.2.25: demag_gui.v.3.0	NED26-3a:NED26-4a:NED26-5a:NED26-6a:NED26-7a:NED26-8a	9.7	6.2	28.4	187.0
1779	1782	1776	Ma	This study	8.1	lc	36.9	-60.2	56	7	7	7	0	t	6.893	0	Intrusive	Diabase	0	45.53445	Diabase	ECMB	265.74129	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED26-2:NED26-3:NED26-4:NED26-5:NED26-6:NED26-7:NED26-8	NED26	pmagpy-4.2.25: demag_gui.v.3.0	NED26-2a:NED26-3a:NED26-4a:NED26-5a:NED26-6a:NED26-7a:NED26-8a	12.3	9.3	-2.7	58.8
1779	1782	1776	Ma	This study	18.8	hc	241.7	35.1	10	8	8	8	0	t	7.27	0	Intrusive	Diabase	0	45.53453	Diabase	ECMB	265.74129	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED27-1:NED27-2:NED27-3:NED27-4:NED27-5:NED27-6:NED27-7:NED27-8	NED27	pmagpy-4.2.25: demag_gui.v.3.0	NED27-1a:NED27-2a:NED27-3a:NED27-4a:NED27-5a:NED27-6a:NED27-7a:NED27-8a	21.7	12.5	-4.4	209.3
1779	1782	1776	Ma	This study		hc	94.2	49.4		1	1	1	0	t		0	Intrusive	Diabase	0	45.53467	Diabase	ECMB	265.73817	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	NED28-1	NED28	pmagpy-4.2.25: demag_gui.v.3.0	NED28-1a	238.9	158.6	18.4	330.9
1779	1782	1776	Ma	This study	44	lc	33.1	-62.3	4	5	5	5	0	t	3.9956	0	Intrusive	Diabase	0	45.53467	Diabase	ECMB	265.73817	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED28-1:NED28-2:NED28-3:NED28-4:NED28-5	NED28	pmagpy-4.2.25: demag_gui.v.3.0	NED28-1a:NED28-2a:NED28-3a:NED28-4a:NED28-5a	68.5	53.4	-3.9	62.4
1779	1782	1776	Ma	This study	7.7	mc	157.8	73.8	145	4	4	4	0	t	3.9793	0	Intrusive	Diabase	0	45.53467	Diabase	ECMB	265.73817	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED28-2:NED28-3:NED28-4:NED28-5	NED28	pmagpy-4.2.25: demag_gui.v.3.0	NED28-2a:NED28-3a:NED28-4a:NED28-5a	13.9	12.5	16.9	277.2
1779	1782	1776	Ma	This study	5.9	lc	217.1	-7.1	77	9	9	9	0	r	8.8954	0	Intrusive	Diabase	0	45.53438	Diabase	ECMB	265.7369	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED29-1:NED29-2:NED29-3:NED29-4:NED29-5:NED29-6:NED29-7:NED29-8:NED29-9	NED29	pmagpy-4.2.25: demag_gui.v.3.0	NED29-1a:NED29-2a:NED29-3a:NED29-4a:NED29-5a:NED29-6a:NED29-7a:NED29-8a:NED29-9a	5.9	3	-37	216.8
1779	1782	1776	Ma	This study	5.1	mc	219.0	76.7	119	8	8	8	0	t	7.941	0	Intrusive	Diabase	0	45.53438	Diabase	ECMB	265.7369	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED29-1:NED29-2:NED29-3:NED29-5:NED29-6:NED29-7:NED29-8:NED29-9	NED29	pmagpy-4.2.25: demag_gui.v.3.0	NED29-1a:NED29-2a:NED29-3a:NED29-5a:NED29-6a:NED29-7a:NED29-8a:NED29-9a	9.5	8.8	24.4	248.6
1779	1782	1776	Ma	This study	19.5	hc	344.4	25.6	11	7	7	7	0	n	6.4294	0	Intrusive	Diabase	0	45.5339	Diabase	ECMB	265.75768	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	NED3-1:NED3-2:NED3-3:NED3-4:NED3-5:NED3-7:NED3-8	NED3	pmagpy-4.2.25: demag_gui.v.3.0	NED3-1b:NED3-2b:NED3-3b:NED3-4b:NED3-5b:NED3-7b:NED3-8b	21	11.3	55.3	113.1
