tab	specimens
aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	int_corr	meas_orient_phi	meas_orient_theta	meas_step_max	meas_step_min	meas_step_unit	meas_temp	method_codes	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	software_packages	specimen	synthetic_alternatives	volume	weight
								This study									mc	2.1	164.1	74.2	1.3	1.0	5.0	0.0	NED1-6b_LP-DIR-AF										hargrave 2018-09-21 22:28:02	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-6	pmagpy-4.2.25: demag_gui	NED1-6b			
								This study																																			LP-NOMAG								NED1-6		NED1-6b			
								This study									mc	5.4	196.0	33.9	1.1	2.0	7.0	-1.0	NED1-7b_LP-DIR-AF										hargrave 2018-09-21 23:11:35	u			0.045	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-7	pmagpy-4.2.25: demag_gui	NED1-7b			
								This study									lc	32.8	156.9	30.3	1.8	2.0	3.0	-1.0	NED1-7b_LP-DIR-AF										hargrave 2018-09-21 23:11:35	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-7	pmagpy-4.2.25: demag_gui	NED1-7b			
								This study									lc	32.8	54.7	68.1	1.8	2.0	3.0	0.0	NED1-7b_LP-DIR-AF										hargrave 2018-09-21 23:11:35	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-7	pmagpy-4.2.25: demag_gui	NED1-7b			
								This study									mc	5.4	182.4	75.1	1.1	2.0	7.0	0.0	NED1-7b_LP-DIR-AF										hargrave 2018-09-21 23:11:35	u			0.045	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-7	pmagpy-4.2.25: demag_gui	NED1-7b			
								This study																																			LP-NOMAG								NED1-7		NED1-7b			
								This study									lc	34.1	136.6	51.3	20.6	2.0	3.0	-1.0	NED1-8b_LP-DIR-AF										hargrave 2018-09-21 23:57:17	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-8	pmagpy-4.2.25: demag_gui	NED1-8b			
								This study									mc	2.0	193.6	51.9	0.6	2.0	5.0	-1.0	NED1-8b_LP-DIR-AF										hargrave 2018-09-21 23:57:17	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-8	pmagpy-4.2.25: demag_gui	NED1-8b			
								This study									mc	2.0	167.5	78.3	0.6	2.0	5.0	0.0	NED1-8b_LP-DIR-AF										hargrave 2018-09-21 23:57:17	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-8	pmagpy-4.2.25: demag_gui	NED1-8b			
								This study									lc	34.1	34.4	64.5	20.6	2.0	3.0	0.0	NED1-8b_LP-DIR-AF										hargrave 2018-09-21 23:57:17	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-8	pmagpy-4.2.25: demag_gui	NED1-8b			
								This study																																			LP-NOMAG								NED1-8		NED1-8b			
								This study									lc	98.6	89.9	-6.1	4.1	1.0	3.0	-1.0	NED10-1b_LP-DIR-AF										hargrave 2018-10-13 00:18:13	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-1	pmagpy-4.2.25: demag_gui	NED10-1b			
								This study									lc	98.6	89.9	-6.1	4.1	1.0	3.0	0.0	NED10-1b_LP-DIR-AF										hargrave 2018-10-13 00:18:13	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-1	pmagpy-4.2.25: demag_gui	NED10-1b			
								This study																																			LP-NOMAG								NED10-1		NED10-1b			
								This study									lc	97.2	80.5	-6.0	13.3	1.0	5.0	-1.0	NED10-2b_LP-DIR-AF										hargrave 2018-10-13 01:03:14	u			0.004	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-2	pmagpy-4.2.25: demag_gui	NED10-2b			
								This study									lc	97.2	329.0	-11.2	13.3	1.0	5.0	0.0	NED10-2b_LP-DIR-AF										hargrave 2018-10-13 01:03:14	u			0.004	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-2	pmagpy-4.2.25: demag_gui	NED10-2b			
								This study																																			LP-NOMAG								NED10-2		NED10-2b			
								This study									lc	99.4	70.6	-7.5	2.8	2.0	3.0	-1.0	NED10-3b_LP-DIR-AF										hargrave 2018-10-13 01:46:21	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-3	pmagpy-4.2.25: demag_gui	NED10-3b			
								This study									mc	9.0	200.7	49.8	2.1	2.0	6.0	-1.0	NED10-3b_LP-DIR-AF										hargrave 2018-10-13 01:46:21	u			0.04	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-3	pmagpy-4.2.25: demag_gui	NED10-3b			
								This study									lc	99.4	311.9	-20.1	2.8	2.0	3.0	0.0	NED10-3b_LP-DIR-AF										hargrave 2018-10-13 01:46:21	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-3	pmagpy-4.2.25: demag_gui	NED10-3b			
								This study									mc	9.0	187.6	68.9	2.1	2.0	6.0	0.0	NED10-3b_LP-DIR-AF										hargrave 2018-10-13 01:46:21	u			0.04	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-3	pmagpy-4.2.25: demag_gui	NED10-3b			
								This study																																			LP-NOMAG								NED10-3		NED10-3b			
								This study									mc	12.4	159.8	72.4	5.7	2.0	11.0	-1.0	NED10-4b_LP-DIR-AF										hargrave 2018-10-13 02:29:20	u			0.06	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-4	pmagpy-4.2.25: demag_gui	NED10-4b			
								This study									lc	104.2	50.9	-32.9	2.0	2.0	4.0	-1.0	NED10-4b_LP-DIR-AF										hargrave 2018-10-13 02:29:20	u			0.004	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-4	pmagpy-4.2.25: demag_gui	NED10-4b			
								This study									lc	104.2	275.1	-48.3	2.0	2.0	4.0	0.0	NED10-4b_LP-DIR-AF										hargrave 2018-10-13 02:29:20	u			0.004	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-4	pmagpy-4.2.25: demag_gui	NED10-4b			
								This study									mc	12.4	216.2	71.6	5.7	2.0	11.0	0.0	NED10-4b_LP-DIR-AF										hargrave 2018-10-13 02:29:20	u			0.06	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-4	pmagpy-4.2.25: demag_gui	NED10-4b			
								This study																																			LP-NOMAG								NED10-4		NED10-4b			
								This study									mc	9.4	185.6	61.1	7.3	2.0	7.0	-1.0	NED10-5b_LP-DIR-AF										hargrave 2018-10-13 03:12:48	u			0.04	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-5	pmagpy-4.2.25: demag_gui	NED10-5b			
								This study									lc	97.3	27.4	-13.2	3.5	2.0	3.0	-1.0	NED10-5b_LP-DIR-AF										hargrave 2018-10-13 03:12:48	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-5	pmagpy-4.2.25: demag_gui	NED10-5b			
								This study									lc	97.3	263.1	-49.9	3.5	2.0	3.0	0.0	NED10-5b_LP-DIR-AF										hargrave 2018-10-13 03:12:48	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-5	pmagpy-4.2.25: demag_gui	NED10-5b			
								This study									mc	9.4	209.0	74.5	7.3	2.0	7.0	0.0	NED10-5b_LP-DIR-AF										hargrave 2018-10-13 03:12:48	u			0.04	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-5	pmagpy-4.2.25: demag_gui	NED10-5b			
								This study																																			LP-NOMAG								NED10-5		NED10-5b			
								This study									mc	9.8	160.3	57.3	6.4	2.0	12.0	-1.0	NED10-6b_LP-DIR-AF										hargrave 2018-10-13 03:57:16	u			0.06	0.0175	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-6	pmagpy-4.2.25: demag_gui	NED10-6b			
								This study									lc	78.9	54.8	-25.2	2.0	2.0	4.0	-1.0	NED10-6b_LP-DIR-AF										hargrave 2018-10-13 03:57:16	u			0.004	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-6	pmagpy-4.2.25: demag_gui	NED10-6b			
								This study									mc	9.8	210.1	75.7	6.4	2.0	12.0	0.0	NED10-6b_LP-DIR-AF										hargrave 2018-10-13 03:57:16	u			0.06	0.0175	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-6	pmagpy-4.2.25: demag_gui	NED10-6b			
								This study									lc	78.9	243.9	-41.5	2.0	2.0	4.0	0.0	NED10-6b_LP-DIR-AF										hargrave 2018-10-13 03:57:16	u			0.004	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-6	pmagpy-4.2.25: demag_gui	NED10-6b			
								This study																																			LP-NOMAG								NED10-6		NED10-6b			
								This study									mc	9.3	161.7	59.7	9.8	2.0	7.0	-1.0	NED10-7b_LP-DIR-AF										hargrave 2018-10-13 14:12:25	u			0.06	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-7	pmagpy-4.2.25: demag_gui	NED10-7b			
								This study									lc	88.3	54.6	-32.0	2.0	2.0	4.0	-1.0	NED10-7b_LP-DIR-AF										hargrave 2018-10-13 14:12:25	u			0.005	0.002	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-7	pmagpy-4.2.25: demag_gui	NED10-7b			
								This study									mc	9.3	190.8	73.4	9.8	2.0	7.0	0.0	NED10-7b_LP-DIR-AF										hargrave 2018-10-13 14:12:25	u			0.06	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-7	pmagpy-4.2.25: demag_gui	NED10-7b			
								This study									lc	88.3	247.4	-46.3	2.0	2.0	4.0	0.0	NED10-7b_LP-DIR-AF										hargrave 2018-10-13 14:12:25	u			0.005	0.002	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-7	pmagpy-4.2.25: demag_gui	NED10-7b			
								This study																																			LP-NOMAG								NED10-7		NED10-7b			
								This study									lc	68.4	50.5	-22.8	1.2	2.0	5.0	-1.0	NED10-8b_LP-DIR-AF										hargrave 2018-10-13 14:55:36	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-8	pmagpy-4.2.25: demag_gui	NED10-8b			
								This study									mc	8.2	162.6	58.5	6.4	2.0	11.0	-1.0	NED10-8b_LP-DIR-AF										hargrave 2018-10-13 14:55:36	u			0.06	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED10-8	pmagpy-4.2.25: demag_gui	NED10-8b			
								This study									mc	8.2	187.8	73.7	6.4	2.0	11.0	0.0	NED10-8b_LP-DIR-AF										hargrave 2018-10-13 14:55:36	u			0.06	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-8	pmagpy-4.2.25: demag_gui	NED10-8b			
								This study									lc	68.4	232.0	-43.3	1.2	2.0	5.0	0.0	NED10-8b_LP-DIR-AF										hargrave 2018-10-13 14:55:36	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED10-8	pmagpy-4.2.25: demag_gui	NED10-8b			
								This study																																			LP-NOMAG								NED10-8		NED10-8b			
								This study									lc	50.2	24.2	23.4	7.4	2.0	8.0	-1.0	NED11-1b_LP-DIR-AF										hargrave 2018-10-13 15:39:05	u			0.0125	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-1	pmagpy-4.2.25: demag_gui	NED11-1b			
								This study									hc	1.4	328.2	49.5	2.3	2.0	5.0	-1.0	NED11-1b_LP-DIR-AF										hargrave 2018-10-13 15:39:05	u			0.12	0.08	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-1	pmagpy-4.2.25: demag_gui	NED11-1b			
								This study									hc	1.4	279.1	31.7	2.3	2.0	5.0	0.0	NED11-1b_LP-DIR-AF										hargrave 2018-10-13 15:39:05	u			0.12	0.08	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-1	pmagpy-4.2.25: demag_gui	NED11-1b			
								This study									lc	50.2	325.1	5.0	7.4	2.0	8.0	0.0	NED11-1b_LP-DIR-AF										hargrave 2018-10-13 15:39:05	u			0.0125	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-1	pmagpy-4.2.25: demag_gui	NED11-1b			
								This study																																			LP-NOMAG								NED11-1		NED11-1b			
								This study									hc	0.0	345.2	52.6	1.7	3.0	4.0	-1.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study									hc	0.0	284.9	35.1	1.7	3.0	4.0	0.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study									lc	49.9	37.9	37.3	1.3	3.0	5.0	-1.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.015	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study									mc	28.2	201.6	64.8	1.1	3.0	5.0	-1.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.05	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study									lc	49.9	327.7	22.4	1.3	3.0	5.0	0.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.015	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study									mc	28.2	174.0	79.3	1.1	3.0	5.0	0.0	NED11-2b_LP-DIR-AF										hargrave 2018-10-13 16:22:15	u			0.05	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-2	pmagpy-4.2.25: demag_gui	NED11-2b			
								This study																																			LP-NOMAG								NED11-2		NED11-2b			
								This study									lc	61.6	46.3	32.0	1.3	2.0	4.0	-1.0	NED11-3b_LP-DIR-AF										hargrave 2018-10-13 17:05:34	u			0.01	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-3	pmagpy-4.2.25: demag_gui	NED11-3b			
								This study									mc	13.7	214.2	64.6	0.7	2.0	6.0	-1.0	NED11-3b_LP-DIR-AF										hargrave 2018-10-13 17:05:34	u			0.05	0.0275	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-3	pmagpy-4.2.25: demag_gui	NED11-3b			
								This study									lc	61.6	353.3	23.4	1.3	2.0	4.0	0.0	NED11-3b_LP-DIR-AF										hargrave 2018-10-13 17:05:34	u			0.01	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-3	pmagpy-4.2.25: demag_gui	NED11-3b			
								This study									mc	13.7	188.1	73.2	0.7	2.0	6.0	0.0	NED11-3b_LP-DIR-AF										hargrave 2018-10-13 17:05:34	u			0.05	0.0275	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-3	pmagpy-4.2.25: demag_gui	NED11-3b			
								This study																																			LP-NOMAG								NED11-3		NED11-3b			
								This study									hc	0.0	63.1	37.3	4.0	3.0	4.0	-1.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study									hc	0.0	301.9	35.4	4.0	3.0	4.0	0.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study									lc	51.8	102.0	36.0	2.2	3.0	4.0	-1.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.01	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study									mc	17.9	274.9	72.9	1.3	3.0	6.0	-1.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.055	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study									lc	51.8	340.5	36.7	2.2	3.0	4.0	0.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.01	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study									mc	17.9	168.8	72.1	1.3	3.0	6.0	0.0	NED11-4b_LP-DIR-AF										hargrave 2018-10-13 17:49:25	u			0.055	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-4	pmagpy-4.2.25: demag_gui	NED11-4b			
								This study																																			LP-NOMAG								NED11-4		NED11-4b			
								This study									hc	0.0	10.2	70.2	5.3	3.0	4.0	-1.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study									hc	0.0	292.5	53.4	5.3	3.0	4.0	0.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.13	0.1	T		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study									mc	11.7	207.8	60.3	1.8	3.0	9.0	-1.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.06	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study									lc	51.0	57.2	56.3	1.3	3.0	4.0	-1.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study									lc	51.0	328.0	45.0	1.3	3.0	4.0	0.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study									mc	11.7	161.0	73.5	1.8	3.0	9.0	0.0	NED11-5b_LP-DIR-AF										hargrave 2018-10-13 18:33:00	u			0.06	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-5	pmagpy-4.2.25: demag_gui	NED11-5b			
								This study																																			LP-NOMAG								NED11-5		NED11-5b			
								This study									hc	0.0	270.8	54.0	3.2	3.0	3.0	-1.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.13	0.11	T		LP-DIR-AF:DE-BFL-A:DA-DIR						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study									hc	0.0	303.6	52.9	3.2	3.0	3.0	0.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.13	0.11	T		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study									mc	11.6	155.6	66.4	0.9	3.0	8.0	-1.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.065	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study									lc	20.4	62.6	72.6	0.6	3.0	5.0	-1.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.0125	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study									lc	20.4	63.6	67.1	0.6	3.0	5.0	0.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.0125	0.004	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study									mc	11.6	163.4	74.2	0.9	3.0	8.0	0.0	NED11-6b_LP-DIR-AF										hargrave 2018-10-13 19:16:55	u			0.065	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED11-6	pmagpy-4.2.25: demag_gui	NED11-6b			
								This study																																			LP-NOMAG								NED11-6		NED11-6b			
								This study									mc	5.0	156.4	63.4	0.8	2.0	10.0	-1.0	NED11-7b_LP-DIR-AF										hargrave 2018-10-13 20:00:08	u			0.065	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED11-7	pmagpy-4.2.25: demag_gui	NED11-7b			
